id_ids	forma	valor_original	concepto_en	concepticon_gloss	concepticon_id	capitulo_id	capitulo	comentario
308-1-210-1	hoyri	hoyri; hoi-re	earth, land	LAND	626	1	El mundo físico	Also hoi-ri; hoy-tu. Also recorded is [paatcha], prob. from Quechua 'pacha'.
308-1-210-2	hoi-re	hoyri; hoi-re	earth, land	LAND	626	1	El mundo físico	Also hoi-ri; hoy-tu. Also recorded is [paatcha], prob. from Quechua 'pacha'.
308-1-212-1	hoyri	hoyri; ttunar; hoy-tu	earth=ground, soil	EARTH (SOIL)	1228	1	El mundo físico	
308-1-212-2	ttunar	hoyri; ttunar; hoy-tu	earth=ground, soil	EARTH (SOIL)	1228	1	El mundo físico	
308-1-212-3	hoy-tu	hoyri; ttunar; hoy-tu	earth=ground, soil	EARTH (SOIL)	1228	1	El mundo físico	
308-1-213-1	pockor	pockor	dust	DUST	2	1	El mundo físico	
308-1-214-1	yot-to	yot-to; quis-ti	mud	MUD	640	1	El mundo físico	
308-1-214-2	quis-ti	yot-to; quis-ti	mud	MUD	640	1	El mundo físico	
308-1-215-1	horckte	horckte; si-tche-re	sand	SAND	671	1	El mundo físico	
308-1-215-2	si-tche-re	horckte; si-tche-re	sand	SAND	671	1	El mundo físico	
308-1-220-1	ckabur	ckabur; caur	mountain, hill	MOUNTAIN OR HILL	2118	1	El mundo físico	Also cabur; cahur; kaur.
308-1-220-2	caur	ckabur; caur	mountain, hill	MOUNTAIN OR HILL	2118	1	El mundo físico	Also cabur; cahur; kaur.
308-1-230-1	tul-va	tul-va; ttul-va	plain, field	PLAIN	652	1	El mundo físico	Also tul-ba; bac-ka; back-cka; paca; katur.
308-1-230-2	ttul-va	tul-va; ttul-va	plain, field	PLAIN	652	1	El mundo físico	Also tul-ba; bac-ka; back-cka; paca; katur.
308-1-240-1	ckalal	ckalal	valley	VALLEY	921	1	El mundo físico	
308-1-280-1	toco	toco; [ckoiba]	cave	CAVE	1155	1	El mundo físico	The latter, prob. loanword from Span. 'cueva'. Cf. 'hole' 12.850.
308-1-280-2	ckoiba	toco; [ckoiba]	cave	CAVE	1155	1	El mundo físico	The latter, prob. loanword from Span. 'cueva'. Cf. 'hole' 12.850.
308-1-310-1	puri	puri; puy; [yacko]	water	WATER	948	1	El mundo físico	The latter prob. from Quechua 'yacu'.
308-1-310-2	puy	puri; puy; [yacko]	water	WATER	948	1	El mundo físico	The latter prob. from Quechua 'yacu'.
308-1-310-3	yacko	puri; puy; [yacko]	water	WATER	948	1	El mundo físico	The latter prob. from Quechua 'yacu'.
